Agency,Country,Activity Name,Start Year,End Year,Implementer,Description,Link to Website,Pre-Primary,Primary,Secondary,Workforce Development,Education Systems Strengthening
USAID,Georgia,Basic Education Program,2020,2023,RTI,"The activity supports the implementation of sustainable, inclusive, and student-centered education reforms in line with the priorities of the Government of Georgia; supports all primary school students, emphasizing interactive learning methods to help students develop skills in reading, mathematics, critical thinking, and problem-solving to establish a foundation for lifelong success.",-,,X,,,X
USAID,Burma,Community Strengthening Project (CSP),2018,2023,DAI,"This activity will work with communities affected by conflict to increase community participation and local ownership of essential services, and community development initiatives, peace, and reconciliation efforts. It will train community leaders in dispute resolution and conflict management, support deeper engagement of community leaders with local government, and support joint projects and skills training for people of diverse backgrounds.",-,,,,,
USAID,Haiti,Continuity of Learning,2021,2026,CRS ,This activity is for learners ages six through twelve to benefit from a resilient education system that delivers uninterrupted access to a safe and quality education.,-,X,,,,
USAID,Eastern and Southern Carribbean,Education Research Initiative,2021,2024,UWI,The activity works to build the basic education research base and respository for the Eastern and Southern Caribbean.,-,,X,X,,
USAID,Guatemala,Gen Now Youth Impact Leaders (Central American Service Corps),2022,2023,Glasswing International,"This activity will lay the groundwork for a national service corps in Honduras and Guatemala through stakeholder engagement, a robust learning agenda, and development of a business model with Standard Operating Procedures; designed to support CAYEP/CASC - co-creation",-,,,,X,
USAID,Honduras,Gen Now Youth Impact Leaders (Central American Service Corps),2022,2023,Glasswing International,"This activity will lay the groundwork for a national service corps in Honduras and Guatemala through stakeholder engagement, a robust learning agenda, and development of a business model with Standard Operating Procedures; designed to support CAYEP/CASC - co-creation",-,,,,X,
USAID,El Salvador,Global Development Alliance Oportunidades activity,2021,2026,"Fundación ""Gloria de Kriete"" (FGK)","This activity will help restore access to education and deter illegal migration, especially among youth, during and after the COVID-19 outbreak. This activity will increase opportunities for social inclusion, vocationally focused learning, and violence prevention for vulnerable youth of both sexes who have limited resources but demonstrate academic achievement. This activity will provide: complimentary education for high school students from public schools (Phase 1), scholarships for higher education studies (Phase 2), and once students graduate from phase 2, they have access to internships and/or fisrt job (Phase 3). Beneficiaries are vulnerable youth, living in high risk communities, who have limited resources.",-,,,X,X,
USAID,El Salvador,High Impact Soyapango activity,2021,2025,"Fundación ""Rafael Meza Ayau"" (FRMA)","The activity’s main objective is to improve the quality of life of families in Soyapango, by increasing the opportunities related to the economic and social development of the municipality. This will be achieved through collaborative work between civil society organizations, the private sector, government organizations, and the population of the municipality.",-,,X,X,X,X
USAID,Dominican Republic,Higher Education Partnership ,2019,2024,ISA Univeristy,"This activity aims to develop innovative and sustainable partnerships in DR-HEIs to strengthen institutional programs and services targeting YHRE, ensuring access and completion of tertiary education to increase their access to decent work and social wellbeing.",-,,,X,,X
USAID,Rwanda,Homes and Communities,2021,2026,World Vision,"This activity provides all Rwandan children with literacy-supportive, stimulating, and safe home and community environments for improved literacy outcomes by the end of P3 by improving home literacy environments, increasing community engagement in promoting children’s literacy, and improving literacy learning opportunities for children with disabilities.",-,x,x,,,
USAID,Afghanistan,Keep Schools Open Initiative,2022,2023,UNICEF,This activity sustains access to education for children in Afghanistan,-,,x,x,,
USAID,Senegal,Ndiyam E Ekkolaaji (Water in Schools),2020,2023,Eau Vive,This activity aims to bring water to schools in Senegal's arid northeast region of Matam where 30% of schools do not have running water. The activity will improve access to drinking water for pupils and teachers within the school by rehabilitating/creating adequate water points and promoting good hygiene practices among students and teachers. ,-,,,,,
USAID,Guatemala,Safe Return to School Plus,2021,2023,UNICEF,"This activity provides support for the MOE to adapt to the COVID-19 environment, provide technical assistance on emergency response and disaster preparedness, recover from the impact of Eta and Iota storms, and mitigate the impact of climate change by improving water, sanitation, hygiene (WASH) in schools, improving access to electricity, and strengthening the education system.",-,,X,X,,X
USAID,Jordan,School Transformation Project,2022,2028," Ministry of Education, Ministry of Public Works and Housing, Baha Consultant Engineering, host country Contractors","USAID’s School Transformation Project will redesign and transform thirty Ministry of Education schools in the most densely populated areas of Jordan. The Project seeks to transform existing schools into innovative, inclusive schools while increasing capacity and significantly improving learning environments for all students.",-,,x,x,,
USAID,South Africa,South Africa Early Years Index (SAEYI) - Thrive By Five,2021,2022,Innovation Edge,"This activty has developed an Index that provides population-level data on how well preschool children in South Africa (aged 50-59 months) are doing in three key developmental domains which are associated with longer-term outcomes: Early Learning, Physical Growth, and Social-Emotional Functioning.",-,X,,,,
USAID,Egypt,Teacher Excellence Initiative,2022,2027,Education Development Center,This activity improves the quality and relevance of teacher preparation by establishing undergraduate and graduate degree programs for primary-grade teachers at Egyptian public universities and strengthening government systems and coordination for teacher preparation. ,-,,,,,x
USAID,Liberia ,The Youth Activity,2021,2025,EDC,"This activity increases livelihood prospects and economic self reliace of 21,000 targeted Liberia youths aged 15-29. It will strengthen their foundational skills and provide employement training.",-,,,,X,X
USAID,Liberia ,Transforming Education System for Teachers and Students,2021,2026,RTI,This activity parters with the MOE and National Commission on Higher Education to improve the quality of early childhood eduaiton and primary teachers' instructional delivery,-,X,X,,,X
USAID,Egypt,Workforce Egypt ,2021,2026,MTC International Development Holding Company,"USAID is accelerating the Ministry’s technical secondary education reform by creating seven new market-driven specializations, establishing ten new technical applied technology schools, and strengthening national systems for quality assurance and accreditation. ",-,,,x,x,x
USAID,Haiti,Youth Engagement and Empowerment Activity (YEEA),2021,2022,PADF and OAS,This activity is focused on youth workforce developmet for at-risk youth in Haiti to prevent violence amongst young people.,-,,,,X,X
